5e-10	[-8.271806125530277e-25 -4.445907591837069e-07 -1.654361225106055e-24]
1.5e-09	[1.064322379996945e-12 -4.447216395020572e-07 1.375529896416454e-15]
3.5e-09	[6.556368929483724e-12 -4.450495207660844e-07 -1.160652279141262e-14]
7.500000000000001e-09	[3.036462060417126e-11 -4.459906466063333e-07 -1.065906720632736e-13]
1.55e-08	[1.283974499089966e-10 -4.484177014195701e-07 -5.32933999678987e-13]
2.55e-08	[3.732459912856887e-10 -4.312344523571213e-07 -1.287693559007587e-12]
3.55e-08	[7.183395354089841e-10 -3.8944035134344e-07 -2.25919022173636e-12]
4.55e-08	[1.101523950424304e-09 -3.329201958876501e-07 -3.031950129451125e-12]
5.55e-08	[1.481928662355269e-09 -2.67235109723085e-07 -2.42497122445545e-12]
6.55e-08	[1.829660268224737e-09 -1.97062287925276e-07 9.05285703872526e-13]
7.549999999999999e-08	[2.12387641781017e-09 -1.26725603208304e-07 8.161297535386034e-12]
8.549999999999999e-08	[2.352410275437761e-09 -6.018330721851921e-08 2.02287632881899e-11]
9.549999999999999e-08	[2.51150870896421e-09 -8.941980540492665e-10 3.758185639690509e-11]
1.055e-07	[2.605321857788717e-09 4.832107662253013e-08 6.024419166396219e-11]
1.155e-07	[2.645028617847284e-09 8.540850610051273e-08 8.77920458366539e-11]
1.255e-07	[2.647526712993148e-09 1.09175744017942e-07 1.19397890831148e-10]
1.355e-07	[2.633603474457704e-09 1.193298382274139e-07 1.538999698665205e-10]
1.455e-07	[2.625583931485181e-09 1.164733176552472e-07 1.898909800883151e-10]
1.555e-07	[2.644526856526454e-09 1.020241437838449e-07 2.258143089648283e-10]
1.655e-07	[2.707126829386298e-09 7.80862251971219e-08 2.600599268006148e-10]
1.755e-07	[2.82262348445059e-09 4.72664858619581e-08 2.910583160690888e-10]
1.855e-07	[2.990104192650561e-09 1.245146943536154e-08 3.173609034850987e-10]
1.955e-07	[3.196635957305403e-09 -2.342760537822149e-08 3.377078110291189e-10]
2.055000000000001e-07	[3.416650149859312e-09 -5.763285072382989e-08 3.510801076154797e-10]
2.155000000000001e-07	[3.612926976367888e-09 -8.782760318745971e-08 3.567389460484254e-10]
2.255000000000001e-07	[3.739299447624284e-09 -1.122393485530494e-07 3.542489990156389e-10]
2.355000000000001e-07	[3.744989632319009e-09 -1.29764674056207e-07 3.434898625316405e-10]
2.455000000000001e-07	[3.580210864317961e-09 -1.400008227169151e-07 3.24654090476844e-10]
2.555000000000001e-07	[3.202464870659456e-09 -1.432120841000906e-07 2.982368164488219e-10]
2.655000000000001e-07	[2.582752162433246e-09 -1.402306983471362e-07 2.65014950403801e-10]
2.755000000000001e-07	[1.710834565462706e-09 -1.323049572241386e-07 2.260196484063276e-10]
2.855000000000001e-07	[5.987849864949144e-10 -1.209298650517999e-07 1.824966248429157e-10]
2.955000000000001e-07	[-7.177674272652557e-10 -1.076553856854891e-07 1.358608330910597e-10]
3.055000000000001e-07	[-2.181057887033012e-09 -9.392328118555179e-08 8.764178120016139e-11]
3.155000000000001e-07	[-3.715160896557972e-09 -8.09223049429039e-08 3.942779970027844e-11]
3.255000000000002e-07	[-5.232167262840442e-09 -6.950147455524877e-08 -7.196874074952241e-12]
3.355000000000002e-07	[-6.63979395608454e-09 -6.011722868116353e-08 -5.071878926023066e-11]
3.455000000000002e-07	[-7.850052680020027e-09 -5.28797786552721e-08 -8.979680120286065e-11]
3.555000000000002e-07	[-8.786207507350716e-09 -4.75853635948556e-08 -1.232783446793667e-10]
3.655000000000002e-07	[-9.388162659801889e-09 -4.382181212334711e-08 -1.502521391977036e-10]
3.755000000000002e-07	[-9.616572761405493e-09 -4.107682916400517e-08 -1.700920231344608e-10]
3.855000000000002e-07	[-9.454135176293329e-09 -3.885880696921305e-08 -1.824816181221179e-10]
3.955000000000002e-07	[-8.904289933783029e-09 -3.679404401168017e-08 -1.874263833506862e-10]
4.055000000000002e-07	[-7.987866082837521e-09 -3.469745084059539e-08 -1.852473990218633e-10]
