0 0.00000000e+00
30 2.65500000e-07
60 5.65500000e-07
90 8.12504308e-07
120 1.06643694e-06
150 1.31401490e-06
180 1.55931379e-06
210 1.76974527e-06
240 1.98106921e-06
270 2.19816984e-06
300 2.41766661e-06
330 2.62801634e-06
360 2.83436973e-06
390 3.04208158e-06
420 3.25689133e-06
450 3.47466998e-06
480 3.69859505e-06
510 3.94579073e-06
540 4.21449286e-06
570 4.48530464e-06
600 4.75270855e-06
630 5.03925070e-06
660 5.33925070e-06
690 5.63438648e-06
720 5.93139978e-06
750 6.21774559e-06
780 6.51774559e-06
810 6.81774559e-06
840 7.11774559e-06
870 7.41774559e-06
900 7.71774559e-06
930 8.01774559e-06
960 8.31774559e-06
990 8.61774559e-06
1020 8.91774559e-06
1050 9.21774559e-06
1080 9.51774559e-06
1110 9.80186285e-06
1140 1.01018629e-05
1170 1.04018629e-05
1200 1.07018629e-05
1230 1.10018629e-05
1260 1.13018629e-05
1290 1.16018629e-05
1320 1.18520215e-05
1350 1.21320471e-05
1380 1.23975195e-05
1410 1.26681644e-05
1440 1.29139258e-05
1470 1.31798498e-05
1500 1.34793292e-05
1530 1.37289842e-05
1560 1.39648256e-05
1590 1.41735006e-05
1620 1.44345382e-05
1650 1.46919436e-05
1680 1.49446842e-05
1710 1.51420616e-05
1740 1.53282879e-05
1770 1.55422180e-05
1800 1.57298143e-05
1830 1.59269201e-05
1860 1.61039759e-05
1890 1.62752183e-05
1920 1.64629665e-05
1950 1.66776958e-05
1980 1.68920317e-05
2010 1.70983678e-05
2040 1.72895029e-05
2070 1.74981967e-05
2100 1.77290359e-05
2130 1.79284455e-05
2160 1.81379925e-05
2190 1.83325056e-05
2220 1.85488762e-05
2250 1.87921759e-05
2280 1.90266084e-05
2310 1.92527503e-05
2340 1.94852836e-05
2370 1.97377846e-05
2400 1.99829146e-05
2430 2.02081816e-05
2460 2.04230536e-05
2490 2.06436929e-05
2520 2.08649143e-05
2550 2.10837045e-05
2580 2.13031787e-05
2610 2.15239908e-05
2640 2.17197016e-05
2670 2.19123023e-05
2700 2.21112266e-05
2730 2.22892165e-05
2760 2.24689143e-05
2790 2.26362671e-05
2820 2.27969417e-05
2850 2.29629567e-05
2880 2.31212148e-05
2910 2.32874151e-05
2940 2.34412265e-05
2970 2.36090753e-05
3000 2.37699352e-05
3030 2.39372954e-05
3060 2.41022773e-05
3090 2.42653977e-05
3120 2.44294270e-05
3150 2.45943833e-05
3180 2.47571106e-05
3210 2.49147732e-05
3240 2.50756900e-05
3270 2.51715421e-05
3300 2.52822959e-05
3330 2.53870642e-05
3360 2.55456982e-05
3390 2.57025398e-05
3420 2.58673732e-05
3450 2.60267621e-05
3480 2.61955907e-05
3510 2.63523290e-05
3540 2.65237520e-05
3570 2.66974166e-05
3600 2.68742173e-05
3630 2.70455765e-05
3660 2.72205421e-05
3690 2.73996543e-05
3720 2.75782354e-05
3750 2.77602378e-05
3780 2.79300621e-05
3810 2.81103323e-05
3840 2.82776999e-05
3870 2.84537046e-05
3900 2.86315166e-05
3930 2.87978487e-05
3960 2.89734458e-05
3990 2.91460251e-05
4020 2.93052882e-05
4050 2.94788179e-05
4080 2.96512421e-05
4110 2.98190509e-05
4140 2.99879394e-05
4170 3.01542864e-05
4200 3.03229502e-05
4230 3.04915884e-05
4260 3.06689028e-05
4290 3.08410003e-05
4320 3.10190929e-05
4350 3.11935870e-05
4380 3.13734647e-05
4410 3.15493520e-05
4440 3.17212852e-05
4470 3.19006946e-05
4500 3.20751031e-05
4530 3.22574594e-05
4560 3.24178738e-05
4590 3.25379269e-05
4620 3.26377905e-05
4650 3.28171491e-05
4680 3.30012424e-05
4710 3.31884816e-05
4740 3.33797425e-05
4770 3.35743709e-05
4800 3.37680457e-05
4830 3.39555404e-05
4860 3.41518450e-05
4890 3.43329212e-05
4920 3.45103103e-05
4950 3.46928951e-05
4980 3.48539953e-05
5010 3.50182273e-05
5040 3.51860286e-05
5070 3.53400050e-05
5100 3.55147588e-05
5130 3.56767642e-05
5160 3.58381730e-05
5190 3.60120231e-05
5220 3.61722871e-05
5250 3.63449369e-05
5280 3.65143839e-05
5310 3.66794402e-05
5340 3.68526314e-05
5370 3.70283359e-05
5400 3.71985541e-05
5430 3.73807184e-05
5460 3.75586955e-05
5490 3.77359207e-05
5520 3.79214981e-05
5550 3.80988369e-05
5580 3.82789826e-05
5610 3.84536635e-05
5640 3.86384292e-05
5670 3.88184614e-05
5700 3.90012878e-05
5730 3.91834196e-05
5760 3.93738560e-05
5790 3.95614356e-05
5820 3.97517242e-05
5850 3.99401199e-05
5880 4.01259510e-05
5910 4.03164921e-05
5940 4.05056815e-05
5970 4.06848259e-05
6000 4.08596591e-05
6030 4.10479412e-05
6060 4.12294478e-05
6090 4.14203901e-05
6120 4.15808396e-05
6150 4.17344361e-05
6180 4.18863077e-05
6210 4.20539133e-05
6240 4.22092015e-05
6270 4.23724251e-05
6300 4.25025708e-05
6330 4.26832305e-05
6360 4.28729355e-05
6390 4.30677327e-05
6420 4.32610062e-05
6450 4.34650786e-05
6480 4.36690456e-05
6510 4.38790635e-05
6540 4.40812648e-05
6570 4.42818907e-05
6600 4.44895953e-05
6630 4.46948615e-05
6660 4.48985159e-05
6690 4.51043489e-05
6720 4.53149098e-05
6750 4.55221281e-05
6780 4.57301877e-05
6810 4.59389768e-05
6840 4.61487325e-05
6870 4.63637264e-05
6900 4.65714998e-05
6930 4.67720675e-05
6960 4.69734505e-05
6990 4.71807143e-05
7020 4.73771063e-05
7050 4.75704448e-05
