             644               1
    0.000000e+00    0.000000e+00    0.000000e+00    5.000000e-01    5.000000e-01    5.000000e-01
              ID            type        radius_a        radius_b        radius_c      position_x      position_y      position_z        axle_a_x        axle_a_y        axle_a_z        axle_b_x        axle_b_y        axle_b_z        axle_c_x        axle_c_y        axle_c_z      velocity_x      velocity_y      velocity_z          omga_x          omga_y          omga_z         force_x         force_y         force_z        moment_x        moment_y        moment_z
               1               0    2.473450e-04    2.255225e-04    1.540175e-04   -1.183712e-03   -7.209242e-04    1.992602e-04    2.677339e+00    1.121432e+00    1.462010e+00    1.122425e+00    4.497596e-01    1.603758e+00    1.683123e+00    1.553197e+00    3.027884e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -9.345954e-06    0.000000e+00    0.000000e+00    0.000000e+00
               2               0    4.542825e-04    3.278800e-04    2.086350e-04   -2.051252e-04   -1.317560e-03    1.972993e-04    1.859638e+00    2.593846e+00    2.021901e+00    1.136191e+00    1.269091e+00    2.600180e+00    5.332666e-01    2.012705e+00    1.292403e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.380560e-05    0.000000e+00    0.000000e+00    0.000000e+00
               3               0    2.277975e-04    1.727075e-04    9.408000e-05    3.755347e-04   -8.570871e-04    2.576918e-03    1.752420e+00    1.425152e+00    2.338332e-01    1.686124e+00    2.045967e-01    1.739033e+00    2.925754e+00    1.713464e+00    1.731648e+00    0.000000e+00    0.000000e+00   -9.800000e-07   -0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.026410e-06    0.000000e+00    0.000000e+00    0.000000e+00
               4               0    1.877575e-04    1.249500e-04    1.021300e-04    5.033986e-04   -1.401778e-03    2.808943e-03    1.618349e+00    4.616581e-01    1.111977e+00    2.418230e-01    1.633609e+00    1.337588e+00    1.333878e+00    1.114096e+00    2.618503e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.606438e-06    0.000000e+00    0.000000e+00    0.000000e+00
               5               0    1.374100e-04    1.338925e-04    9.226000e-05   -6.411686e-04   -5.158102e-04    1.837646e-04    1.470603e+00    7.390546e-01    8.418002e-01    2.541480e+00    1.120084e+00    1.938428e+00    2.160129e+00    2.110380e+00    8.585487e-01    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -1.846497e-06    0.000000e+00    0.000000e+00    0.000000e+00
               6               0    3.773875e-04    2.748025e-04    1.989225e-04   -1.671041e-04   -9.712630e-04    2.758159e-03    1.445385e+00    2.374425e+00    2.322297e+00    8.892922e-01    2.064624e+00    9.081551e-01    2.444148e+00    2.102554e+00    1.165590e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00   -0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.244154e-05    0.000000e+00    0.000000e+00    0.000000e+00
               7               0    2.653700e-04    1.576925e-04    1.414875e-04    2.610918e-04   -5.731544e-04    5.159552e-04    8.842090e-01    2.181963e+00    2.115952e+00    2.403434e+00    1.827661e+00    2.243533e+00    1.343004e+00    6.783972e-01    2.196299e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00   -0.000000e+00    0.000000e+00    0.000000e+00   -6.440825e-06    0.000000e+00    0.000000e+00    0.000000e+00
               8               0    3.093650e-04    2.739100e-04    1.784475e-04    6.305657e-04   -7.821173e-04    2.770883e-03    1.862360e+00    8.070754e-01    8.465076e-01    2.077265e+00    1.057116e+00    2.379429e+00    2.542537e+00    2.128628e+00    1.375307e+00    0.000000e+00    0.000000e+00   -9.800000e-07   -0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -1.644940e-05    0.000000e+00    0.000000e+00    0.000000e+00
               9               0    2.849875e-04    2.170875e-04    2.050125e-04   -8.357963e-04    1.979774e-04    2.685310e-03    1.426446e+00    1.055298e+00    2.602302e+00    2.355927e+00    2.159874e+00    2.023837e+00    2.335765e+00    8.371945e-01    1.298893e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -1.379754e-05    0.000000e+00    0.000000e+00    0.000000e+00
              10               0    2.011450e-04    1.447250e-04    1.005900e-04   -1.998416e-04    1.299114e-04    2.129352e-03    1.869872e+00    2.070578e+00    5.974816e-01    2.840483e+00    1.453555e+00    1.846827e+00    1.536889e+00    2.625711e+00    2.085338e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.185431e-06    0.000000e+00    0.000000e+00    0.000000e+00
              11               0    1.264375e-04    8.478750e-05    6.158250e-05    1.411621e-03    2.232624e-04    2.542196e-03    1.733530e+00    1.771169e+00    2.882049e+00    1.298919e+00    2.828466e+00    1.419316e+00    2.822579e+00    1.808117e+00    1.361689e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -7.181673e-07    0.000000e+00    0.000000e+00    0.000000e+00
              12               0    2.040675e-04    1.610175e-04    1.192625e-04    1.309437e-03    1.053279e-03    2.891434e-03    1.786303e+00    7.571711e-01    8.596111e-01    3.105963e-01    1.565082e+00    1.260256e+00    1.350668e+00    8.136561e-01    2.336754e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.262961e-06    0.000000e+00    0.000000e+00    0.000000e+00
              13               0    2.425500e-04    1.947400e-04    1.475250e-04   -1.633146e-04    1.296236e-03    2.731264e-03    1.204754e+00    2.557069e+00    1.137382e+00    1.261748e+00    1.897699e+00    2.683441e+00    4.889472e-01    1.105436e+00    1.431627e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -7.580234e-06    0.000000e+00    0.000000e+00    0.000000e+00
              14               0    2.469075e-04    2.230725e-04    1.428700e-04   -8.490463e-04    1.374903e-03    2.978007e-03    8.960465e-01    1.099666e+00    8.822753e-01    1.843466e+00    2.263411e+00    7.656658e-01    7.481402e-01    2.241420e+00    1.851122e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -8.560161e-06    0.000000e+00    0.000000e+00    0.000000e+00
              15               0    1.412075e-04    1.243375e-04    9.429000e-05    9.211806e-04    2.945345e-04    1.503514e-03    8.957480e-01    2.423077e+00    1.779115e+00    2.346874e+00    2.288504e+00    1.289985e+00    1.922650e+00    1.599120e+00    2.788502e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -1.800885e-06    0.000000e+00    0.000000e+00    0.000000e+00
              16               0    1.783425e-04    1.681400e-04    1.226575e-04    7.732280e-04    1.469093e-03    2.755324e-03    2.160502e+00    1.893448e+00    6.947082e-01    9.369587e-01    2.497590e+00    1.471986e+00    9.482803e-01    1.035793e+00    8.860002e-01    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.001111e-06    0.000000e+00    0.000000e+00    0.000000e+00
              17               0    1.591450e-04    1.592675e-04    1.323700e-04   -3.908010e-04   -1.387469e-03    2.646938e-03    2.297802e+00    2.090648e+00    9.786787e-01    7.559333e-01    2.214325e+00    1.231892e+00    1.400234e+00    8.930154e-01    7.071008e-01    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.649810e-06    0.000000e+00    0.000000e+00    0.000000e+00
              18               0    1.437625e-04    1.047550e-04    6.751500e-05   -7.193670e-04   -1.185372e-03    1.619460e-04    2.555489e+00    9.951863e-01    1.669073e+00    1.375747e+00    1.449351e+00    2.910992e+00    2.115368e+00    2.550021e+00    1.778723e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -1.106066e-06    0.000000e+00    0.000000e+00    0.000000e+00
              19               0    3.199000e-04    2.214275e-04    1.930600e-04    1.742523e-04   -1.274409e-03    2.416382e-03    1.953295e+00    2.757748e+00    1.540235e+00    2.205757e+00    1.355973e+00    2.459666e+00    7.765285e-01    1.883775e+00    2.251769e+00    0.000000e+00    0.000000e+00   -9.800000e-07    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -1.487643e-05    0.000000e+00    0.000000e+00    0.000000e+00
