# RVE Size
0.06
# Particle List
# type  radius  thickness rotation  xCent  yCent  zCent  matCode
# Particle 0
1 0.002875 0.00015 0.0 0.0428443 0.0098101 0.0 0
# Particle 1
1 0.002875 0.00015 0.0 0.0158176 0.0527668 0.0 0
# Particle 2
1 0.002875 0.00015 0.0 0.0509788 0.0022955 0.0 0
# Particle 3
1 0.002875 0.00015 0.0 0.0509788 0.0622955 0.0 0
# Particle 4
1 0.002875 0.00015 0.0 0.0220746 0.0269227 0.0 0
# Particle 5
1 0.002875 0.00015 0.0 0.0227505 0.0182502 0.0 0
# Particle 6
1 0.002875 0.00015 0.0 0.0400003 0.0319918 0.0 0
# Particle 7
1 0.002875 0.00015 0.0 0.0250796 0.0579657 0.0 0
# Particle 8
1 0.002875 0.00015 0.0 0.0250796 -0.0020343 0.0 0
# Particle 9
1 0.002875 0.00015 0.0 0.0519924 0.0417474 0.0 0
# Particle 10
1 0.002875 0.00015 0.0 0.0151514 0.0038468 0.0 0
# Particle 11
1 0.002875 0.00015 0.0 0.0377611 -0.0020995 0.0 0
# Particle 12
1 0.002875 0.00015 0.0 0.0377611 0.0579005 0.0 0
# Particle 13
1 0.002875 0.00015 0.0 0.0492074 0.0187493 0.0 0
# Particle 14
1 0.002875 0.00015 0.0 0.0027048 -0.0009067 0.0 0
# Particle 15
1 0.002875 0.00015 0.0 0.0627048 -0.0009067 0.0 0
# Particle 16
1 0.002875 0.00015 0.0 0.0627048 0.0590933 0.0 0
# Particle 17
1 0.002875 0.00015 0.0 0.0027048 0.0590933 0.0 0
# Particle 18
1 0.002875 0.00015 0.0 0.045349 0.05343 0.0 0
# Particle 19
1 0.002875 0.00015 0.0 0.0098078 0.0569471 0.0 0
# Particle 20
1 0.002875 0.00015 0.0 0.0213656 0.0029077 0.0 0
# Particle 21
1 0.002875 0.00015 0.0 0.0044593 0.0268826 0.0 0
# Particle 22
1 0.002625 0.00015 0.0 0.0384485 0.0491815 0.0 0
# Particle 23
1 0.002625 0.00015 0.0 0.0303395 0.0545871 0.0 0
# Particle 24
1 0.002625 0.00015 0.0 0.0262827 0.023139 0.0 0
# Particle 25
1 0.002625 0.00015 0.0 0.004779 0.0109576 0.0 0
# Particle 26
1 0.002625 0.00015 0.0 0.023257 0.0500776 0.0 0
# Particle 27
1 0.002625 0.00015 0.0 0.028158 0.0344418 0.0 0
# Particle 28
1 0.002625 0.00015 0.0 0.0276207 0.0061111 0.0 0
# Particle 29
1 0.002625 0.00015 0.0 0.0525029 0.0478289 0.0 0
# Particle 30
1 0.002625 0.00015 0.0 0.0349041 0.0130702 0.0 0
# Particle 31
1 0.002625 0.00015 0.0 0.0316831 0.0024213 0.0 0
# Particle 32
1 0.002625 0.00015 0.0 0.0316831 0.0624213 0.0 0
# Particle 33
1 0.002625 0.00015 0.0 0.0553317 0.0542526 0.0 0
# Particle 34
1 0.002625 0.00015 0.0 0.0586779 0.0140548 0.0 0
# Particle 35
1 0.002625 0.00015 0.0 -0.0013221 0.0140548 0.0 0
# Particle 36
1 0.002625 0.00015 0.0 0.0502805 0.0305031 0.0 0
# Particle 37
1 0.002625 0.00015 0.0 0.043417 0.060711 0.0 0
# Particle 38
1 0.002625 0.00015 0.0 0.043417 0.000711 0.0 0
# Particle 39
1 0.002625 0.00015 0.0 0.0567167 0.0286119 0.0 0
# Particle 40
1 0.002625 0.00015 0.0 0.0575325 0.0421762 0.0 0
# Particle 41
1 0.002625 0.00015 0.0 -0.0024675 0.0421762 0.0 0
# Particle 42
1 0.002375 0.00015 0.0 0.0118606 0.0155729 0.0 0
# Particle 43
1 0.002375 0.00015 0.0 0.04326 0.0417233 0.0 0
# Particle 44
1 0.002375 0.00015 0.0 0.0186687 0.0431253 0.0 0
# Particle 45
1 0.002375 0.00015 0.0 0.0071196 0.0401666 0.0 0
# Particle 46
1 0.002375 0.00015 0.0 0.0309762 0.0433396 0.0 0
# Particle 47
1 0.002375 0.00015 0.0 0.0105134 0.0485297 0.0 0
# Particle 48
1 0.002375 0.00015 0.0 -0.0008112 0.0197878 0.0 0
# Particle 49
1 0.002375 0.00015 0.0 0.0591888 0.0197878 0.0 0
# Particle 50
1 0.002375 0.00015 0.0 0.0288456 0.0482629 0.0 0
# Particle 51
1 0.002375 0.00015 0.0 0.0444054 0.0365434 0.0 0
# Particle 52
1 0.002375 0.00015 0.0 0.0612492 0.0315548 0.0 0
# Particle 53
1 0.002375 0.00015 0.0 0.0012492 0.0315548 0.0 0
# Particle 54
1 0.002375 0.00015 0.0 0.01472 0.0232725 0.0 0
# Particle 55
1 0.002375 0.00015 0.0 0.0099342 0.0055236 0.0 0
# Particle 56
1 0.002375 0.00015 0.0 0.0117835 0.0328698 0.0 0
# Particle 57
1 0.002375 0.00015 0.0 0.0604239 0.0060653 0.0 0
# Particle 58
1 0.002375 0.00015 0.0 0.0004239 0.0060653 0.0 0
# Particle 59
1 0.002375 0.00015 0.0 0.0227377 0.0364886 0.0 0
# Particle 60
1 0.002375 0.00015 0.0 0.0447962 0.0261529 0.0 0
# Particle 61
1 0.002125 0.00015 0.0 0.0070353 0.0330716 0.0 0
# Particle 62
1 0.002125 0.00015 0.0 0.0061042 0.0457998 0.0 0
# Particle 63
1 0.002125 0.00015 0.0 0.0329353 0.0384456 0.0 0
# Particle 64
1 0.002125 0.00015 0.0 0.0174506 0.0120551 0.0 0
# Particle 65
1 0.002125 0.00015 0.0 0.0367323 0.018154 0.0 0
# Particle 66
1 0.002125 0.00015 0.0 0.0365223 0.0271831 0.0 0
# Particle 67
1 0.002125 0.00015 0.0 0.0068536 0.015508 0.0 0
# Particle 68
1 0.002125 0.00015 0.0 0.0322711 0.0238358 0.0 0
# Particle 69
1 0.002125 0.00015 0.0 0.0603044 0.0493632 0.0 0
# Particle 70
1 0.002125 0.00015 0.0 0.0003044 0.0493632 0.0 0
# Particle 71
1 0.002125 0.00015 0.0 0.0361479 0.0064301 0.0 0
# Particle 72
1 0.002125 0.00015 0.0 0.0270344 0.0138472 0.0 0
# Particle 73
1 0.002125 0.00015 0.0 0.0094005 0.0256198 0.0 0
# Particle 74
1 0.002125 0.00015 0.0 0.0302229 0.0279489 0.0 0
# Particle 75
