Dry sand - Load to 9.04% strain then unload to 0 pressure,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Unload@9.04 strain
0,0,,,,
0.0249724,0.0413857,,,,
0.0499448,0.0776227,,,,
0.0749171,0.113878,,,,
0.0998895,0.150151,,,,
0.124862,0.186443,,,,
0.149834,0.222753,,,,
0.174807,0.259081,,,,
0.199779,0.295427,,,,
0.224751,0.331792,,,,
0.249724,0.368176,,,,
0.274696,0.404578,,,,
0.299668,0.440998,,,,
0.324641,0.477437,,,,
0.349613,0.513895,,,,
0.374586,0.550372,,,,
0.399558,0.586867,,,,
0.42453,0.623382,,,,
0.449503,0.659915,,,,
0.474475,0.696468,,,,
0.499448,0.733039,,,,
0.52442,0.76963,,,,
0.549392,0.806241,,,,
0.574365,0.842871,,,,
0.599337,0.87952,,,,
0.624309,0.916189,,,,
0.649282,0.952878,,,,
0.674254,0.989587,,,,
0.699226,1.02632,,,,
0.724199,1.06306,,,,
0.749171,1.09983,,,,
0.774144,1.13662,,,,
0.799116,1.17343,,,,
0.824088,1.21026,,,,
0.849061,1.24711,,,,
0.874033,1.28398,,,,
0.899005,1.32088,,,,
0.923978,1.35779,,,,
0.94895,1.39473,,,,
0.973923,1.43168,,,,
0.998895,1.46866,,,,
1.02387,1.50566,,,,
1.04884,1.54268,,,,
1.07381,1.57972,,,,
1.09878,1.61678,,,,
1.12376,1.65387,,,,
1.14873,1.69098,,,,
1.1737,1.72811,,,,
1.19867,1.76526,,,,
1.22365,1.80244,,,,
1.24862,1.83964,,,,
1.27359,1.87686,,,,
1.29856,1.9141,,,,
1.32354,1.95137,,,,
1.34851,1.98866,,,,
1.37348,2.02598,,,,
1.39845,2.06332,,,,
1.42343,2.10068,,,,
1.4484,2.13807,,,,
1.47337,2.17548,,,,
1.49834,2.21291,,,,
1.52331,2.25037,,,,
1.54829,2.28786,,,,
1.57326,2.32537,,,,
1.59823,2.3629,,,,
1.6232,2.40046,,,,
1.64818,2.43805,,,,
1.67315,2.47566,,,,
1.69812,2.5133,,,,
1.72309,2.55096,,,,
1.74807,2.58865,,,,
1.77304,2.62637,,,,
1.79801,2.66411,,,,
1.82298,2.70188,,,,
1.84796,2.73967,,,,
1.87293,2.7775,,,,
1.8979,2.81535,,,,
1.92287,2.85323,,,,
1.94785,2.89113,,,,
1.97282,2.92907,,,,
1.99779,2.96703,,,,
2.02276,3.00502,,,,
2.04773,3.04304,,,,
2.07271,3.08109,,,,
2.09768,3.11917,,,,
2.12265,3.15728,,,,
2.14762,3.19541,,,,
2.1726,3.23358,,,,
2.19757,3.27178,,,,
2.22254,3.31001,,,,
2.24751,3.34826,,,,
2.27249,3.38655,,,,
2.29746,3.42487,,,,
2.32243,3.46322,,,,
2.3474,3.5016,,,,
2.37238,3.54002,,,,
2.39735,3.57846,,,,
2.42232,3.61694,,,,
2.44729,3.65545,,,,
2.47227,3.69399,,,,
2.49724,3.73257,,,,
2.52221,3.77118,,,,
2.54718,3.80982,,,,
2.57215,3.84849,,,,
2.59713,3.8872,,,,
2.6221,3.92595,,,,
2.64707,3.96472,,,,
2.67204,4.00354,,,,
2.69702,4.04239,,,,
2.72199,4.08127,,,,
2.74696,4.12019,,,,
2.77193,4.15914,,,,
2.79691,4.19813,,,,
2.82188,4.23716,,,,
2.84685,4.27622,,,,
2.87182,4.31532,,,,
2.8968,4.35446,,,,
2.92177,4.39364,,,,
2.94674,4.43285,,,,
2.97171,4.4721,,,,
2.99669,4.51139,,,,
3.02166,4.55072,,,,
3.04663,4.59008,,,,
3.0716,4.62949,,,,
3.09657,4.66894,,,,
3.12155,4.70842,,,,
3.14652,4.74795,,,,
3.17149,4.78751,,,,
3.19646,4.82712,,,,
3.22144,4.86677,,,,
3.24641,4.90646,,,,
3.27138,4.94619,,,,
3.29635,4.98596,,,,
3.32133,5.02578,,,,
3.3463,5.06563,,,,
3.37127,5.10553,,,,
3.39624,5.14548,,,,
3.42122,5.18547,,,,
3.44619,5.2255,,,,
3.47116,5.26557,,,,
3.49613,5.3057,,,,
3.5211,5.34586,,,,
3.54608,5.38607,,,,
3.57105,5.42633,,,,
3.59602,5.46663,,,,
3.62099,5.50698,,,,
3.64597,5.54738,,,,
3.67094,5.58782,,,,
3.69591,5.62831,,,,
3.72088,5.66885,,,,
3.74586,5.70943,,,,
3.77083,5.75007,,,,
3.7958,5.79075,,,,
3.82077,5.83148,,,,
3.84575,5.87227,,,,
3.87072,5.9131,,,,
3.89569,5.95398,,,,
3.92066,5.99491,,,,
3.94564,6.0359,,,,
3.97061,6.07693,,,,
3.99558,6.11802,,,,
4.02055,6.15916,,,,
4.04552,6.20035,,,,
4.0705,6.2416,,,,
4.09547,6.2829,,,,
4.12044,6.32425,,,,
4.14541,6.36565,,,,
4.17039,6.40711,,,,
4.19536,6.44863,,,,
4.22033,6.4902,,,,
4.2453,6.53183,,,,
4.27028,6.57351,,,,
4.29525,6.61525,,,,
4.32022,6.65705,,,,
4.34519,6.6989,,,,
4.37017,6.74081,,,,
4.39514,6.78278,,,,
4.42011,6.82481,,,,
4.44508,6.8669,,,,
4.47006,6.90904,,,,
4.49503,6.95125,,,,
4.52,6.99352,,,,
4.54497,7.03585,,,,
4.56994,7.07824,,,,
4.59492,7.12069,,,,
4.61989,7.1632,,,,
4.64486,7.20577,,,,
4.66983,7.24841,,,,
4.69481,7.29111,,,,
4.71978,7.33388,,,,
4.74475,7.37671,,,,
4.76972,7.4196,,,,
4.7947,7.46256,,,,
4.81967,7.50559,,,,
4.84464,7.54868,,,,
4.86961,7.59184,,,,
4.89459,7.63506,,,,
4.91956,7.67836,,,,
4.94453,7.72172,,,,
4.9695,7.76515,,,,
4.99447,7.80864,,,,
5.01945,7.85221,,,,
5.04442,7.89585,,,,
5.06939,7.93956,,,,
5.09436,7.98334,,,,
5.11934,8.02719,,,,
5.14431,8.07111,,,,
5.16928,8.1151,,,,
5.19425,8.15917,,,,
5.21923,8.20331,,,,
5.2442,8.24753,,,,
5.26917,8.29181,,,,
5.29414,8.33618,,,,
5.31912,8.38062,,,,
5.34409,8.42513,,,,
5.36906,8.46972,,,,
5.39403,8.51439,,,,
5.41901,8.55914,,,,
5.44398,8.60396,,,,
5.46895,8.64886,,,,
5.49392,8.69385,,,,
5.5189,8.73891,,,,
5.54387,8.78405,,,,
5.56884,8.82927,,,,
5.59381,8.87457,,,,
5.61878,8.91996,,,,
5.64376,8.96542,,,,
5.66873,9.01097,,,,
5.6937,9.05661,,,,
5.71867,9.10232,,,,
5.74365,9.14813,,,,
5.76862,9.19401,,,,
5.79359,9.23998,,,,
5.81856,9.28604,,,,
5.84354,9.33219,,,,
5.86851,9.37842,,,,
5.89348,9.42474,,,,
5.91845,9.47115,,,,
5.94343,9.51765,,,,
5.9684,9.56423,,,,
5.99337,9.61091,,,,
6.01834,9.65768,,,,
6.04331,9.70454,,,,
6.06829,9.75149,,,,
6.09326,9.79854,,,,
6.11823,9.84567,,,,
6.1432,9.89291,,,,
6.16818,9.94023,,,,
6.19315,9.98765,,,,
6.21812,10.0352,,,,
6.24309,10.0828,,,,
6.26807,10.1305,,,,
6.29304,10.1783,,,,
6.31801,10.2262,,,,
6.34298,10.2742,,,,
6.36796,10.3223,,,,
6.39293,10.3705,,,,
6.4179,10.4188,,,,
6.44287,10.4672,,,,
6.46785,10.5157,,,,
6.49282,10.5643,,,,
6.51779,10.613,,,,
6.54276,10.6619,,,,
6.56773,10.7108,,,,
6.59271,10.7598,,,,
6.61768,10.8089,,,,
6.64265,10.8582,,,,
6.66762,10.9075,,,,
6.6926,10.957,,,,
