Dry sand - Load to 45.20% strain then unload to 0 pressure,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Unload@45.20 strain
5.53616,8.77011,,,,
5.5611,8.81524,,,,
5.58603,8.86045,,,,
5.61097,8.90575,,,,
5.63591,8.95113,,,,
5.66085,8.99659,,,,
5.68579,9.04213,,,,
5.71072,9.08776,,,,
5.73566,9.13347,,,,
5.7606,9.17927,,,,
5.78554,9.22515,,,,
5.81047,9.27111,,,,
5.83541,9.31717,,,,
5.86035,9.36331,,,,
5.88529,9.40953,,,,
5.91022,9.45585,,,,
5.93516,9.50225,,,,
5.9601,9.54874,,,,
5.98504,9.59533,,,,
6.00997,9.642,,,,
6.03491,9.68876,,,,
6.05985,9.73562,,,,
6.08479,9.78257,,,,
6.10973,9.82961,,,,
6.13466,9.87674,,,,
6.1596,9.92397,,,,
6.18454,9.97129,,,,
6.20948,10.0187,,,,
6.23441,10.0662,,,,
6.25935,10.1138,,,,
6.28429,10.1615,,,,
6.30923,10.2093,,,,
6.33416,10.2572,,,,
6.3591,10.3052,,,,
6.38404,10.3533,,,,
6.40898,10.4015,,,,
6.43392,10.4498,,,,
6.45885,10.4982,,,,
6.48379,10.5468,,,,
6.50873,10.5954,,,,
6.53367,10.6441,,,,
6.5586,10.6929,,,,
6.58354,10.7418,,,,
6.60848,10.7908,,,,
6.63342,10.84,,,,
6.65835,10.8892,,,,
6.68329,10.9385,,,,
6.70823,10.988,,,,
6.73317,11.0376,,,,
6.7581,11.0872,,,,
6.78304,11.137,,,,
6.80798,11.1869,,,,
6.83292,11.2369,,,,
6.85786,11.287,,,,
6.88279,11.3372,,,,
6.90773,11.3876,,,,
6.93267,11.438,,,,
6.95761,11.4886,,,,
6.98254,11.5393,,,,
7.00748,11.5901,,,,
7.03242,11.641,,,,
7.05736,11.692,,,,
7.08229,11.7432,,,,
7.10723,11.7945,,,,
7.13217,11.8459,,,,
7.15711,11.8974,,,,
7.18204,11.949,,,,
7.20698,12.0008,,,,
7.23192,12.0526,,,,
7.25686,12.1046,,,,
7.2818,12.1568,,,,
7.30673,12.209,,,,
7.33167,12.2614,,,,
7.35661,12.3139,,,,
7.38155,12.3665,,,,
7.40648,12.4193,,,,
7.43142,12.4722,,,,
7.45636,12.5252,,,,
7.4813,12.5783,,,,
7.50623,12.6316,,,,
7.53117,12.685,,,,
7.55611,12.7386,,,,
