Hydrostat,,,,,
,,,,,
,,,,,
Dry sand,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Loading
5.99,9.59533,,,,
6.01,9.642,,,,
6.03,9.68876,,,,
6.06,9.73562,,,,
6.08,9.78257,,,,
6.11,9.82961,,,,
6.13,9.87674,,,,
6.16,9.92397,,,,
6.18,9.97129,,,,
6.21,10.0187,,,,
6.23,10.0662,,,,
6.26,10.1138,,,,
6.28,10.1615,,,,
6.31,10.2093,,,,
6.33,10.2572,,,,
6.36,10.3052,,,,
6.38,10.3533,,,,
6.41,10.4015,,,,
6.43,10.4498,,,,
6.46,10.4982,,,,
6.48,10.5468,,,,
6.51,10.5954,,,,
6.53,10.6441,,,,
6.56,10.6929,,,,
6.58,10.7418,,,,
6.61,10.7908,,,,
6.63,10.84,,,,
6.66,10.8892,,,,
6.68,10.9385,,,,
6.71,10.988,,,,
6.73,11.0376,,,,
6.76,11.0872,,,,
6.78,11.137,,,,
6.81,11.1869,,,,
6.83,11.2369,,,,
6.86,11.287,,,,
6.88,11.3372,,,,
6.91,11.3876,,,,
6.93,11.438,,,,
6.96,11.4886,,,,
6.98,11.5393,,,,
7.01,11.5901,,,,
7.03,11.641,,,,
7.06,11.692,,,,
7.08,11.7432,,,,
7.11,11.7945,,,,
7.13,11.8459,,,,
7.16,11.8974,,,,
7.18,11.949,,,,
7.21,12.0008,,,,
7.23,12.0526,,,,
7.26,12.1046,,,,
7.28,12.1568,,,,
7.31,12.209,,,,
7.33,12.2614,,,,
7.36,12.3139,,,,
7.38,12.3665,,,,
7.41,12.4193,,,,
7.43,12.4722,,,,
7.46,12.5252,,,,
7.48,12.5783,,,,
7.51,12.6316,,,,
7.53,12.685,,,,
7.56,12.7386,,,,
7.58,12.7922,,,,
7.61,12.846,,,,
7.63,12.9,,,,
7.66,12.9541,,,,
7.68,13.0083,,,,
7.71,13.0626,,,,
7.73,13.1171,,,,
7.76,13.1717,,,,
7.78,13.2265,,,,
7.81,13.2814,,,,
7.83,13.3365,,,,
