Yield surface,
,
Dry sand,
,Deviatoric
pressure,yield
(MPa),stress (MPa)
13.5581,12.735
13.6139,12.7874
13.6698,12.84
13.7259,12.8927
13.7821,12.9455
13.8384,12.9985
13.895,13.0517
13.9516,13.1049
14.0084,13.1584
14.0654,13.2119
14.1225,13.2656
14.1798,13.3195
14.2372,13.3735
14.2948,13.4276
14.3525,13.4819
14.4104,13.5363
14.4685,13.5909
14.5267,13.6457
14.5851,13.7005
14.6436,13.7556
14.7023,13.8108
14.7612,13.8661
14.8202,13.9216
14.8794,13.9773
14.9388,14.0331
14.9983,14.0891
15.058,14.1452
15.1178,14.2015
15.1779,14.2579
15.2381,14.3145
15.2984,14.3713
15.359,14.4282
15.4197,14.4853
15.4806,14.5426
15.5416,14.6
15.6029,14.6576
15.6643,14.7153
15.7259,14.7732
15.7877,14.8313
15.8496,14.8896
15.9118,14.948
15.9741,15.0066
16.0366,15.0654
16.0993,15.1243
16.1621,15.1835
16.2252,15.2428
16.2884,15.3022
16.3519,15.3619
16.4155,15.4217
16.4793,15.4817
16.5433,15.5419
16.6075,15.6023
16.6719,15.6628
16.7365,15.7235
16.8012,15.7845
16.8662,15.8456
16.9314,15.9068
16.9968,15.9683
17.0623,16.03
17.1281,16.0918
17.1941,16.1539
17.2602,16.2161
17.3266,16.2785
17.3932,16.3411
17.46,16.4039
17.527,16.4669
17.5942,16.5301
17.6616,16.5935
17.7292,16.6571
17.797,16.7209
17.8651,16.7849
17.9334,16.8491
18.0018,16.9135
18.0705,16.9781
18.1394,17.0429
18.2086,17.1079
18.2779,17.1731
18.3475,17.2385
18.4172,17.3042
18.4873,17.37
18.5575,17.4361
18.628,17.5023
18.6986,17.5688
18.7696,17.6355
18.9121,17.7697
19.0555,17.9048
19.1999,18.0408
19.3452,18.1777
19.4914,18.3155
19.6387,18.4541
19.7869,18.5937
19.9361,18.7342
20.0862,18.8757
20.2374,19.0181
20.3896,19.1615
20.5428,19.3058
20.6971,19.4511
20.8524,19.5974
21.0087,19.7447
21.1661,19.8929
21.3246,20.0422
21.4842,20.1926
21.6448,20.3439
21.8066,20.4963
21.9695,20.6498
22.1335,20.8043
22.2987,20.9599
22.465,21.1166
22.6325,21.2744
22.8012,21.4333
22.971,21.5933
23.1421,21.7545
23.3143,21.9167
23.4878,22.0802
23.6625,22.2448
23.8385,22.4106
24.0157,22.5775
24.1942,22.7457
24.3739,22.9151
24.555,23.0857
24.7374,23.2575
24.921,23.4306
25.1061,23.6049
25.2924,23.7805
25.4801,23.9574
25.6692,24.1356
25.8597,24.315
26.0516,24.4958
26.2449,24.6779
26.4396,24.8614
26.6357,25.0462
26.8333,25.2324
27.0323,25.42
27.2329,25.6089
27.4349,25.7993
27.6384,25.9911
27.8435,26.1843
28.05,26.379
28.2582,26.5751
28.4679,26.7727
28.6791,26.9718
28.892,27.1724
29.1064,27.3744
29.3225,27.5781
29.5402,27.7832
29.7596,27.99
29.9806,28.1982
30.2033,28.4081
30.4277,28.6196
30.6538,28.8327
30.8817,29.0474
31.1112,29.2638
