              9
             id           type       radius_a       radius_b       radius_c     position_x     position_y     position_z       axle_a_x       axle_a_y       axle_a_z       axle_b_x       axle_b_y       axle_b_z       axle_c_x       axle_c_y       axle_c_z     velocity_x     velocity_y     velocity_z         omga_x         omga_y         omga_z        force_x        force_y        force_z       moment_x       moment_y       moment_z
              1              0   2.470000e-04   2.260000e-04   1.540000e-04  -1.184000e-03  -7.210000e-04   1.989995e-04   2.677339e+00   1.121432e+00   1.462010e+00   1.122425e+00   4.497599e-01   1.603758e+00   1.683123e+00   1.553197e+00   3.027884e+00   0.000000e+00   0.000000e+00  -9.800000e-06   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -9.351616e-07   0.000000e+00   0.000000e+00   0.000000e+00
              2              7   4.540000e-04   3.280000e-04   2.090000e-04  -2.113455e-04  -1.318000e-03   1.970000e-04   1.859638e+00   2.593846e+00   2.021901e+00   1.136191e+00   1.269091e+00   2.600180e+00   5.332670e-01   2.012705e+00   1.292403e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -3.385607e-06   0.000000e+00   0.000000e+00   0.000000e+00
              3              0   2.280000e-04   1.730000e-04   9.400000e-05   3.760000e-04  -8.570000e-04   2.577000e-03   1.752420e+00   1.425152e+00   2.338334e-01   1.686124e+00   2.045972e-01   1.739033e+00   2.925754e+00   1.713464e+00   1.731648e+00   0.000000e+00   0.000000e+00  -9.800000e-06   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -4.033382e-07   0.000000e+00   0.000000e+00   0.000000e+00
              4              7   1.880000e-04   1.250000e-04   1.020000e-04   4.931853e-04  -1.402000e-03   2.809000e-03   1.618349e+00   4.616580e-01   1.111977e+00   2.418230e-01   1.633609e+00   1.337588e+00   1.333878e+00   1.114096e+00   2.618503e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.607526e-07   0.000000e+00   0.000000e+00   0.000000e+00
              5              0   1.370000e-04   1.340000e-04   9.200000e-05  -6.410000e-04  -5.160000e-04   1.839995e-04   1.470603e+00   7.390548e-01   8.417999e-01   2.541480e+00   1.120084e+00   1.938428e+00   2.160129e+00   2.110380e+00   8.585487e-01   0.000000e+00   0.000000e+00  -9.800000e-06   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -1.837273e-07   0.000000e+00   0.000000e+00   0.000000e+00
              6              7   4.540000e-04   3.280000e-04   2.090000e-04  -2.113455e-04   2.137000e-03   1.970000e-04   1.859638e+00   2.593846e+00   2.021901e+00   1.136191e+00   1.269091e+00   2.600180e+00   5.332670e-01   2.012705e+00   1.292403e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -3.385607e-06   0.000000e+00   0.000000e+00   0.000000e+00
              7              7   4.540000e-04   3.280000e-04   2.090000e-04  -2.113455e-04  -1.318000e-03   3.652000e-03   1.859638e+00   2.593846e+00   2.021901e+00   1.136191e+00   1.269091e+00   2.600180e+00   5.332670e-01   2.012705e+00   1.292403e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -3.385607e-06   0.000000e+00   0.000000e+00   0.000000e+00
              8              7   4.540000e-04   3.280000e-04   2.090000e-04  -2.113455e-04   2.137000e-03   3.652000e-03   1.859638e+00   2.593846e+00   2.021901e+00   1.136191e+00   1.269091e+00   2.600180e+00   5.332670e-01   2.012705e+00   1.292403e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -3.385607e-06   0.000000e+00   0.000000e+00   0.000000e+00
             12              7   1.880000e-04   1.250000e-04   1.020000e-04   4.931853e-04   2.053000e-03   2.809000e-03   1.618349e+00   4.616580e-01   1.111977e+00   2.418230e-01   1.633609e+00   1.337588e+00   1.333878e+00   1.114096e+00   2.618503e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.607526e-07   0.000000e+00   0.000000e+00   0.000000e+00
